district,date,disease,disease_group,disease_communicable,n_cases
Moshi,2014-01-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-01-01,Bronchial Asthma,Respiratory Disease,NCD,461
Moshi,2014-01-01,Caries,Other Non-Communicable Diseases,NCD,731
Moshi,2014-01-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-01-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-01-01,Diabetes Mellitus,Diabetes Mellitus,NCD,950
Moshi,2014-01-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,0
Moshi,2014-01-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-01-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,87
Moshi,2014-01-01,Epilepsy,Neurological Disorders,NCD,203
Moshi,2014-01-01,Fractures,Trauma and Injuries,NCD,280
Moshi,2014-01-01,Gynecological Diseases,Gynecological Diseases,NCD,180
Moshi,2014-01-01,Hypertension,Cardiovascular Disease,NCD,1057
Moshi,2014-01-01,Infectious Eye Disease,Other Communicable Diseases,CD,0
Moshi,2014-01-01,Influenza,Respiratory Infection,CD,0
Moshi,2014-01-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,740
Moshi,2014-01-01,Kwashiorkor,Malnutrition,NCD,28
Moshi,2014-01-01,Leprosy,Other Communicable Diseases,CD,0
Moshi,2014-01-01,Malaria,Vector borne infection,CD,180
Moshi,2014-01-01,Marasmic Kwashiorkor,Malnutrition,NCD,21
Moshi,2014-01-01,Marasmus,Malnutrition,NCD,3
Moshi,2014-01-01,Measles,Other Communicable Diseases,CD,1
Moshi,2014-01-01,Meningitis,Neurological Disorders,Both,9
Moshi,2014-01-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,447
Moshi,2014-01-01,Moderate Malnutrition,Malnutrition,NCD,60
Moshi,2014-01-01,Neoplasms/Cancer,Cancer,NCD,12
Moshi,2014-01-01,Neuroses,Neurological Disorders,NCD,75
Moshi,2014-01-01,"Nutritional Disorders, Other",Malnutrition,NCD,17
Moshi,2014-01-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,231
Moshi,2014-01-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,600
Moshi,2014-01-01,"Pneumonia, Severe",Respiratory Infection,CD,217
Moshi,2014-01-01,Poisoning,Other Non-Communicable Diseases,NCD,83
Moshi,2014-01-01,Psychoses,Neurological Disorders,NCD,51
Moshi,2014-01-01,Rabies,Other Communicable Diseases,CD,0
Moshi,2014-01-01,Relapsing Fever (Louse Borne Typhus),Other vector borne diseases,CD,NA
Moshi,2014-01-01,Road Traffic Accidents,Trauma and Injuries,NCD,222
Moshi,2014-01-01,Schistosomiasis,Neglected Tropical Disease (NTD),CD,17
Moshi,2014-01-01,Skin Infection - Fungal,Skin infection,CD,516
Moshi,2014-01-01,Snake and Insect Bites,Other Non-Communicable Diseases,NCD,0
Moshi,2014-01-01,Substance Abuse,Other Non-Communicable Diseases,NCD,0
Moshi,2014-01-01,Trypanosomiasis,Other vector borne diseases,CD,NA
Moshi,2014-01-01,Tuberculosis,Respiratory Infection,CD,50
Moshi,2014-01-01,Typhoid,Other Communicable Diseases/Gastrointestinal infections,CD,0
Moshi,2014-01-01,Upper Respiratory Infections,Respiratory Infection,CD,2180
Moshi,2014-01-01,Urinary Tract Infections,Other Communicable Diseases,CD,2219
Moshi,2014-01-01,Viral Haemorrhagic Fevers,Other vector borne diseases,CD,0
Moshi,2014-01-01,Yellow Fever,Other vector borne diseases,CD,NA
Moshi,2014-02-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-02-01,Bronchial Asthma,Respiratory Disease,NCD,428
Moshi,2014-02-01,Caries,Other Non-Communicable Diseases,NCD,588
Moshi,2014-02-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,4
Moshi,2014-02-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-02-01,Diabetes Mellitus,Diabetes Mellitus,NCD,1046
Moshi,2014-02-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,0
Moshi,2014-02-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-02-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,97
Moshi,2014-02-01,Epilepsy,Neurological Disorders,NCD,207
Moshi,2014-02-01,Fractures,Trauma and Injuries,NCD,257
Moshi,2014-02-01,Gynecological Diseases,Gynecological Diseases,NCD,190
Moshi,2014-02-01,Hypertension,Cardiovascular Disease,NCD,1026
Moshi,2014-02-01,Infectious Eye Disease,Other Communicable Diseases,CD,0
Moshi,2014-02-01,Influenza,Respiratory Infection,CD,0
Moshi,2014-02-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,809
Moshi,2014-02-01,Kwashiorkor,Malnutrition,NCD,31
Moshi,2014-02-01,Leprosy,Other Communicable Diseases,CD,0
Moshi,2014-02-01,Malaria,Vector borne infection,CD,132
Moshi,2014-02-01,Marasmic Kwashiorkor,Malnutrition,NCD,27
Moshi,2014-02-01,Marasmus,Malnutrition,NCD,0
Moshi,2014-02-01,Measles,Other Communicable Diseases,CD,4
Moshi,2014-02-01,Meningitis,Neurological Disorders,Both,2
Moshi,2014-02-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,432
Moshi,2014-02-01,Moderate Malnutrition,Malnutrition,NCD,59
Moshi,2014-02-01,Neoplasms/Cancer,Cancer,NCD,14
Moshi,2014-02-01,Neuroses,Neurological Disorders,NCD,67
Moshi,2014-02-01,"Nutritional Disorders, Other",Malnutrition,NCD,20
Moshi,2014-02-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,234
Moshi,2014-02-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,652
Moshi,2014-02-01,"Pneumonia, Severe",Respiratory Infection,CD,270
Moshi,2014-02-01,Poisoning,Other Non-Communicable Diseases,NCD,64
Moshi,2014-02-01,Psychoses,Neurological Disorders,NCD,61
Moshi,2014-02-01,Rabies,Other Communicable Diseases,CD,0
Moshi,2014-02-01,Relapsing Fever (Louse Borne Typhus),Other vector borne diseases,CD,NA
Moshi,2014-02-01,Road Traffic Accidents,Trauma and Injuries,NCD,181
Moshi,2014-02-01,Schistosomiasis,Neglected Tropical Disease (NTD),CD,14
Moshi,2014-02-01,Skin Infection - Fungal,Skin infection,CD,966
Moshi,2014-02-01,Snake and Insect Bites,Other Non-Communicable Diseases,NCD,0
Moshi,2014-02-01,Substance Abuse,Other Non-Communicable Diseases,NCD,0
Moshi,2014-02-01,Trypanosomiasis,Other vector borne diseases,CD,NA
Moshi,2014-02-01,Tuberculosis,Respiratory Infection,CD,33
Moshi,2014-02-01,Typhoid,Other Communicable Diseases/Gastrointestinal infections,CD,0
Moshi,2014-02-01,Upper Respiratory Infections,Respiratory Infection,CD,2403
Moshi,2014-02-01,Urinary Tract Infections,Other Communicable Diseases,CD,2477
Moshi,2014-02-01,Viral Haemorrhagic Fevers,Other vector borne diseases,CD,0
Moshi,2014-02-01,Yellow Fever,Other vector borne diseases,CD,NA
Moshi,2014-03-01,Acute Flaccid Paralysis,Neurological Disorders,Both,0
Moshi,2014-03-01,Bronchial Asthma,Respiratory Disease,NCD,518
Moshi,2014-03-01,Caries,Other Non-Communicable Diseases,NCD,447
Moshi,2014-03-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-03-01,Cholera,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-03-01,Diabetes Mellitus,Diabetes Mellitus,NCD,463
Moshi,2014-03-01,Diarrhea With No Dehydration,Diarrheal disease/Gastrointesntinal infections,Both,0
Moshi,2014-03-01,Diarrhea With Severe Dehydration,Diarrheal disease/Gastrointesntinal infections,CD,0
Moshi,2014-03-01,Dysentery,Diarrheal disease/Gastrointesntinal infections,CD,151
Moshi,2014-03-01,Epilepsy,Neurological Disorders,NCD,198
Moshi,2014-03-01,Fractures,Trauma and Injuries,NCD,313
Moshi,2014-03-01,Gynecological Diseases,Gynecological Diseases,NCD,200
Moshi,2014-03-01,Hypertension,Cardiovascular Disease,NCD,629
Moshi,2014-03-01,Infectious Eye Disease,Other Communicable Diseases,CD,0
Moshi,2014-03-01,Influenza,Respiratory Infection,CD,3
Moshi,2014-03-01,Intestinal Worms,Other Communicable Diseases/Gastrointestinal infections,CD,967
Moshi,2014-03-01,Kwashiorkor,Malnutrition,NCD,43
Moshi,2014-03-01,Leprosy,Other Communicable Diseases,CD,8
Moshi,2014-03-01,Malaria,Vector borne infection,CD,219
Moshi,2014-03-01,Marasmic Kwashiorkor,Malnutrition,NCD,36
Moshi,2014-03-01,Marasmus,Malnutrition,NCD,2
Moshi,2014-03-01,Measles,Other Communicable Diseases,CD,22
Moshi,2014-03-01,Meningitis,Neurological Disorders,Both,3
Moshi,2014-03-01,Mild/Moderate Anemia,Cardiovascular Disease,NCD,442
Moshi,2014-03-01,Moderate Malnutrition,Malnutrition,NCD,68
Moshi,2014-03-01,Neoplasms/Cancer,Cancer,NCD,14
Moshi,2014-03-01,Neuroses,Neurological Disorders,NCD,82
Moshi,2014-03-01,"Nutritional Disorders, Other",Malnutrition,NCD,33
Moshi,2014-03-01,Other Cardiovascular Diseases,Cardiovascular Disease,NCD,160
Moshi,2014-03-01,Peptic Ulcers,Other Non-Communicable Diseases,NCD,596
Moshi,2014-03-01,"Pneumonia, Severe",Respiratory Infection,CD,438
Moshi,2014-03-01,Poisoning,Other Non-Communicable Diseases,NCD,117
Moshi,2014-03-01,Psychoses,Neurological Disorders,NCD,94
Moshi,2014-03-01,Rabies,Other Communicable Diseases,CD,1
Moshi,2014-03-01,Relapsing Fever (Louse Borne Typhus),Other vector borne diseases,CD,NA
Moshi,2014-03-01,Road Traffic Accidents,Trauma and Injuries,NCD,192
Moshi,2014-03-01,Schistosomiasis,Neglected Tropical Disease (NTD),CD,13
Moshi,2014-03-01,Skin Infection - Fungal,Skin infection,CD,589
Moshi,2014-03-01,Snake and Insect Bites,Other Non-Communicable Diseases,NCD,0
Moshi,2014-03-01,Substance Abuse,Other Non-Communicable Diseases,NCD,0
