district,date,disease,disease_group,disease_communicable,n_cases
Moshi,2014-01-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,461
Moshi,2014-01-01,Caries,Other Non-Communicable,Non-Communicable Diseases,731
Moshi,2014-01-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,950
Moshi,2014-01-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-01-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-01-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,87
Moshi,2014-01-01,Epilepsy,Neurological,Non-Communicable Diseases,203
Moshi,2014-01-01,Fractures,Trauma,Non-Communicable Diseases,280
Moshi,2014-01-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,1057
Moshi,2014-01-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,0
Moshi,2014-01-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,740
Moshi,2014-01-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,0
Moshi,2014-01-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,180
Moshi,2014-01-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,12
Moshi,2014-01-01,Neuroses,Neurological,Non-Communicable Diseases,75
Moshi,2014-01-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,231
Moshi,2014-01-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,600
Moshi,2014-01-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,217
Moshi,2014-01-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,83
Moshi,2014-01-01,Psychoses,Neurological,Non-Communicable Diseases,51
Moshi,2014-01-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,222
Moshi,2014-01-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,17
Moshi,2014-01-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,516
Moshi,2014-01-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-01-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-01-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,50
Moshi,2014-01-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-01-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,2180
Moshi,2014-01-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2219
Moshi,2014-02-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,428
Moshi,2014-02-01,Caries,Other Non-Communicable,Non-Communicable Diseases,588
Moshi,2014-02-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,1046
Moshi,2014-02-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-02-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-02-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,97
Moshi,2014-02-01,Epilepsy,Neurological,Non-Communicable Diseases,207
Moshi,2014-02-01,Fractures,Trauma,Non-Communicable Diseases,257
Moshi,2014-02-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,1026
Moshi,2014-02-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,0
Moshi,2014-02-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,809
Moshi,2014-02-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,0
Moshi,2014-02-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,132
Moshi,2014-02-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,14
Moshi,2014-02-01,Neuroses,Neurological,Non-Communicable Diseases,67
Moshi,2014-02-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,234
Moshi,2014-02-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,652
Moshi,2014-02-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,270
Moshi,2014-02-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,64
Moshi,2014-02-01,Psychoses,Neurological,Non-Communicable Diseases,61
Moshi,2014-02-01,Road Traffic Accidents,Trauma,Non-Communicable Diseases,181
Moshi,2014-02-01,Schistosomiasis,Other Communicable Diseases,Infectious/Communicable Diseases,14
Moshi,2014-02-01,Skin Infection - Fungal,Other Communicable Diseases,Infectious/Communicable Diseases,966
Moshi,2014-02-01,Snake and Insect Bites,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-02-01,Substance Abuse,Other Non-Communicable,Non-Communicable Diseases,0
Moshi,2014-02-01,Tuberculosis,Respiratory Infections,Infectious/Communicable Diseases,33
Moshi,2014-02-01,Typhoid,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-02-01,Upper Respiratory Infections,Respiratory Infections,Infectious/Communicable Diseases,2403
Moshi,2014-02-01,Urinary Tract Infections,Urinary Infections,Infectious/Communicable Diseases,2477
Moshi,2014-03-01,Bronchial Asthma,Chronic Respiratory Diseases,Non-Communicable Diseases,518
Moshi,2014-03-01,Caries,Other Non-Communicable,Non-Communicable Diseases,447
Moshi,2014-03-01,Diabetes Mellitus,Diabetes Mellitus,Non-Communicable Diseases,463
Moshi,2014-03-01,Diarrhea With No Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-03-01,Diarrhea With Severe Dehydration,Gastrointestinal Infections,Infectious/Communicable Diseases,0
Moshi,2014-03-01,Dysentery,Gastrointestinal Infections,Infectious/Communicable Diseases,151
Moshi,2014-03-01,Epilepsy,Neurological,Non-Communicable Diseases,198
Moshi,2014-03-01,Fractures,Trauma,Non-Communicable Diseases,313
Moshi,2014-03-01,Hypertension,Cardiovascular Diseases,Non-Communicable Diseases,629
Moshi,2014-03-01,Infectious Eye Disease,Infectious Eye Disease,Infectious/Communicable Diseases,0
Moshi,2014-03-01,Intestinal Worms,Gastrointestinal Infections,Infectious/Communicable Diseases,967
Moshi,2014-03-01,Leprosy,Other Communicable Diseases,Infectious/Communicable Diseases,8
Moshi,2014-03-01,Malaria,Vector-borne Infections,Infectious/Communicable Diseases,219
Moshi,2014-03-01,Neoplasms/Cancer,Cancer,Non-Communicable Diseases,14
Moshi,2014-03-01,Neuroses,Neurological,Non-Communicable Diseases,82
Moshi,2014-03-01,Other Cardiovascular Diseases,Cardiovascular Diseases,Non-Communicable Diseases,160
Moshi,2014-03-01,Peptic Ulcers,Other Non-Communicable,Non-Communicable Diseases,596
Moshi,2014-03-01,"Pneumonia, Severe",Respiratory Infections,Infectious/Communicable Diseases,438
Moshi,2014-03-01,Poisoning,Other Non-Communicable,Non-Communicable Diseases,117
Moshi,2014-03-01,Psychoses,Neurological,Non-Communicable Diseases,94
