district,date,pm2p5,greenness,total_rainfall,n_raindays,temp_min,temp_mean,temp_max,utci
Moshi,2012-01-01,22.3230769817646,0.337369169,12.5,2,13.4,19.4,25,33.8938888888889
Moshi,2012-02-01,21.8865385789138,0.339330782,35.6,6,13.8,19.3,24.4,34.0738888888889
Moshi,2012-03-01,23.6999998459449,0.354898326,44.7,7,14,19.2,24.1,33.4665740740741
Moshi,2012-04-01,21.1961538608258,0.36522459,269.3,7,14.8,17.9,21.8,28.1192592592592
Moshi,2012-05-01,16.3326921463013,0.415874331,83.7,9,13.4,16.8,20.5,26.2680555555556
Moshi,2012-06-01,18.5057692527771,0.395200623,9.2,2,11.4,15.5,19.5,24.5262962962963
Moshi,2012-07-01,32.5980767836938,0.381561077,6.9,2,9.8,14.7,19.4,27.347037037037
Moshi,2012-08-01,15.998077025780301,0.29177999,12.5,3,10.7,15.7,20.4,28.8106481481481
Moshi,2012-09-01,9.93461539195134,0.301235286,6.3,2,11.5,16.8,22.1,33.2957407407407
Moshi,2012-10-01,21.5884614357582,0.313957292,16.9,3,13.7,18.4,23.1,36.0844444444445
Moshi,2012-11-01,20.190384718088,0.351623041,103.8,3,14.7,18.7,23.1,32.3099074074074
Moshi,2012-12-01,29.0038460584787,0.379869935,57.5,2,15.1,18.8,22.7,32.2686111111111
Moshi,2013-01-01,24.3134615237896,0.5038923720435885,60.3,4,14.6,19.2,23.8,33.362962962963
Moshi,2013-02-01,21.5557691500737,0.622666748,14.8,3,14.6,19.5,24.4,33.8898148148148
Moshi,2013-03-01,27.5980768203735,0.622665562,127.2,10,16.1,19.6,24,29.6388888888889
Moshi,2013-04-01,21.6673077803392,0.637203515,365.1,8,15.7,18.5,21.9,23.66
Moshi,2013-05-01,15.7807692197653,0.601407183,96.2,10,12.8,16.6,20.5,25.6742592592593
Moshi,2013-06-01,18.5750000293438,0.605447262,13.1,3,10.7,14.9,19.3,24.662962962963
Moshi,2013-07-01,31.940384534689105,0.480624062,13.7,3,9.5,14.5,19.5,26.1656481481481
Moshi,2013-08-01,13.823076908405,0.440798954,8.8,2,11,15.2,19.4,29.3550925925926
Moshi,2013-09-01,12.6153846704043,0.419077108,7.8,2,12.2,17.1,22.1,32.4293518518519
Moshi,2013-10-01,20.5173077216515,0.405745127,19.4,3,13,18.1,23.4,35.2356481481482
Moshi,2013-11-01,20.7576922636766,0.401712575,56.2,1,14.7,18.9,23.6,33.3805555555556
Moshi,2013-12-01,32.8173077656673,0.402602299,70.2,3,14.5,18.5,22.7,32.5368518518519
Moshi,2014-01-01,19.7480768790612,0.430023382,18.8,1,14.2,19.2,24,33.3706481481482
Moshi,2014-02-01,26.1038460731506,0.409752649,56,15,14.6,19,23.3,32.1430555555556
Moshi,2014-03-01,32.484615289248,0.398067165,127.7,13,15.2,19.1,23.5,31.4506481481482
Moshi,2014-04-01,23.7403846520644,0.424318927,204.2,2,14.8,18.4,22.6,27.5997222222222
Moshi,2014-05-01,14.8865383038154,0.563944934,124.7,12,13.6,16.6,20.2,24.7086111111111
Moshi,2014-06-01,12.1865384762104,0.561484822,18.4,3,11.7,15.5,19.3,24.5298148148148
Moshi,2014-07-01,11.3423076959757,0.554829919,17.7,3,10.7,15,19.1,25.5553703703704
Moshi,2014-08-01,10.2615384872143,0.534025067,11.8,2,11.2,16.1,20.5,28.6625
Moshi,2014-09-01,12.1153846520644,0.481085178,11.4,2,12.1,16.2,20.5,30.0314814814815
Moshi,2014-10-01,17.2269230255714,0.476693041,15.8,3,13.6,18.1,22.7,31.4259259259259
Moshi,2014-11-01,13.928846175854,0.473540373,89.5,1,14.4,18.5,23,32.2499074074074
Moshi,2014-12-01,31.3653844686655,0.468854878,62.6,2,14.4,18.5,22.7,32.5046296296296
Moshi,2015-01-01,18.6211539782011,0.366089567,18.6,2,13.9,19.1,24.2,33.2105555555556
Moshi,2015-02-01,17.9557693188007,0.365865935,28.6,2,14.3,19.6,24.8,33.4204629629629
Moshi,2015-03-01,23.8557691574097,0.391038101,87.8,5,14.5,19.4,24.5,33.3162037037037
Moshi,2015-04-01,16.6423079050504,0.428886608,502.1,7,15.6,18.7,22.3,29.2276851851852
Moshi,2015-05-01,14.163461630161,0.530245788,225,1,14,17,20.4,25.8903703703704
Moshi,2015-06-01,17.7769229962276,0.501572808,20.7,3,11.3,15.6,19.6,26.2263888888889
Moshi,2015-07-01,16.8865384505345,0.395691024,20.2,3,11.2,15.3,19.5,25.8478703703704
Moshi,2015-08-01,9.80192301823543,0.39148078,14.7,3,11.8,15.8,20,30.9593518518518
Moshi,2015-09-01,15.0403846043807,0.376799634,5.7,2,12.1,17.2,22.5,34.3618518518519
Moshi,2015-10-01,20.221153992873,0.374291346,28.8,4,14.6,18.8,23.3,34.8064814814815
Moshi,2015-11-01,16.6653845860408,0.39278698,98.7,5,15.5,19,22.7,33.7430555555556
Moshi,2015-12-01,24.3576924617474,0.426484668,70.1,4,14.9,19.2,23.3,34.434537037037
