district,date,pm2p5,greenness,total_rainfall,n_raindays,temp_min,temp_mean,temp_max,utci
Moshi,2012-01-01,22.3230769817646,0.337369169,12.5,2,21.86026771,27.05695153,32.25363536,33.8938888888889
Moshi,2012-02-01,21.8865385789138,0.339330782,35.6,6,21.05281161,26.16051465,31.26821768,34.0738888888889
Moshi,2012-03-01,23.6999998459449,0.354898326,44.7,7,20.85962293,26.28761013,31.71559734,33.4665740740741
Moshi,2012-04-01,21.1961538608258,0.36522459,269.3,7,18.6436349,24.43502798,30.22642106,28.1192592592592
Moshi,2012-05-01,16.3326921463013,0.415874331,83.7,9,16.51326715,21.8353209,27.15737465,26.2680555555556
Moshi,2012-06-01,18.5057692527771,0.395200623,9.2,2,15.26603374,20.50271054,25.73938735,24.5262962962963
Moshi,2012-07-01,32.5980767836938,0.381561077,6.9,2,16.80576179,21.63152924,26.45729669,27.347037037037
Moshi,2012-08-01,15.998077025780301,0.29177999,12.5,3,17.07567744,22.17750385,27.27933027,28.8106481481481
Moshi,2012-09-01,9.93461539195134,0.301235286,6.3,2,17.84351201,23.79625535,29.74899869,33.2957407407407
Moshi,2012-10-01,21.5884614357582,0.313957292,16.9,3,18.36465054,24.93410101,31.50355148,36.0844444444445
Moshi,2012-11-01,20.190384718088,0.351623041,103.8,3,19.14546615,24.44140369,29.73734123,32.3099074074074
Moshi,2012-12-01,29.0038460584787,0.379869935,57.5,2,20.50876234,25.93690093,31.36503953,32.2686111111111
Moshi,2013-01-01,24.3134615237896,NA,60.3,4,21.22236291,26.42361058,31.62485826,33.362962962963
Moshi,2013-02-01,21.5557691500737,0.622666748,14.8,3,21.16395548,26.06880573,30.97365598,33.8898148148148
Moshi,2013-03-01,27.5980768203735,0.622665562,127.2,10,20.74487813,25.82561176,30.90634539,29.6388888888889
Moshi,2013-04-01,21.6673077803392,0.637203515,365.1,8,17.27096681,23.09595099,28.92093518,23.66
Moshi,2013-05-01,15.7807692197653,0.601407183,96.2,10,16.23810699,21.42529418,26.61248136,25.6742592592593
Moshi,2013-06-01,18.5750000293438,0.605447262,13.1,3,14.85821715,20.38217153,25.90612591,24.662962962963
Moshi,2013-07-01,31.940384534689102,0.480624062,13.7,3,15.49938664,20.41565627,25.33192591,26.1656481481481
Moshi,2013-08-01,13.823076908405,0.440798954,8.8,2,15.42916778,21.26007641,27.09098503,29.3550925925926
Moshi,2013-09-01,12.6153846704043,0.419077108,7.8,2,17.60905937,22.78344768,27.95783599,32.4293518518519
Moshi,2013-10-01,20.5173077216515,0.405745127,19.4,3,19.41914306,24.70390277,29.98866249,35.2356481481482
Moshi,2013-11-01,20.7576922636766,0.401712575,56.2,1,20.30655268,25.71316131,31.11976994,33.3805555555556
Moshi,2013-12-01,32.8173077656673,0.402602299,70.2,3,21.32676651,25.84560328,30.36444004,32.5368518518519
Moshi,2014-01-01,19.7480768790612,0.430023382,18.8,1,21.13463528,26.28027661,31.42591794,33.3706481481482
Moshi,2014-02-01,26.1038460731506,0.409752649,56,15,20.59386607,25.73002041,30.86617474,32.1430555555556
Moshi,2014-03-01,32.484615289248,0.398067165,127.7,13,19.893812,25.03380176,30.17379152,31.4506481481482
Moshi,2014-04-01,23.7403846520644,0.424318927,204.2,2,17.35978426,23.7371205,30.11445673,27.5997222222222
Moshi,2014-05-01,14.8865383038154,0.563944934,124.7,12,15.24225303,20.57039215,25.89853128,24.7086111111111
Moshi,2014-06-01,12.1865384762104,0.561484822,18.4,3,15.00781746,20.76922783,26.53063819,24.5298148148148
Moshi,2014-07-01,11.3423076959757,0.554829919,17.7,3,15.04638452,20.4738323,25.90128008,25.5553703703704
Moshi,2014-08-01,10.2615384872143,0.534025067,11.8,2,16.25007271,21.9141152,27.5781577,28.6625
Moshi,2014-09-01,12.1153846520644,0.481085178,11.4,2,16.05895642,21.47941463,26.89987284,30.0314814814815
Moshi,2014-10-01,17.2269230255714,0.476693041,15.8,3,19.31753501,23.93666325,28.55579149,31.4259259259259
Moshi,2014-11-01,13.928846175854,0.473540373,89.5,1,19.69279756,24.98670444,30.28061131,32.2499074074074
Moshi,2014-12-01,31.3653844686655,0.468854878,62.6,2,20.6920761,25.63277914,30.57348219,32.5046296296296
Moshi,2015-01-01,18.6211539782011,0.366089567,18.6,2,21.11576726,25.77433648,30.4329057,33.2105555555556
Moshi,2015-02-01,17.9557693188007,0.365865935,28.6,2,20.07759706,25.46461452,30.85163199,33.4204629629629
Moshi,2015-03-01,23.8557691574097,0.391038101,87.8,5,20.77470042,26.65166319,32.52862597,33.3162037037037
Moshi,2015-04-01,16.6423079050504,0.428886608,502.1,7,17.83093485,23.88809227,29.9452497,29.2276851851852
Moshi,2015-05-01,14.163461630161,0.530245788,225,1,16.17207621,21.66053111,27.148986,25.8903703703704
Moshi,2015-06-01,17.7769229962276,0.501572808,20.7,3,16.61575963,21.62537005,26.63498047,26.2263888888889
Moshi,2015-07-01,16.8865384505345,0.395691024,20.2,3,16.88435785,21.72716357,26.56996929,25.8478703703704
Moshi,2015-08-01,9.80192301823543,0.39148078,14.7,3,16.52175278,22.54432864,28.5669045,30.9593518518518
Moshi,2015-09-01,15.0403846043807,0.376799634,5.7,2,17.79889978,23.74423342,29.68956706,34.3618518518519
Moshi,2015-10-01,20.221153992873,0.374291346,28.8,4,20.44365915,25.41443116,30.38520317,34.8064814814815
Moshi,2015-11-01,16.6653845860408,0.39278698,98.7,5,19.07547199,24.7765269,30.47758181,33.7430555555556
Moshi,2015-12-01,24.3576924617474,0.426484668,70.1,4,21.56933683,26.16934494,30.76935304,34.434537037037
Moshi,2016-01-01,20.8692307839027,0.418023625,83.4,7,22.00705953,27.2434739,32.479888269999996,33.4444444444444
Moshi,2016-02-01,18.3538461465102,0.432697409,23.3,4,20.44092879,25.50943068,30.57793256,33.2575
Moshi,2016-03-01,22.1711538388179,0.408284021,60.7,4,21.91519604,27.49518263,33.07516923,35.2727777777778
Moshi,2016-04-01,16.2730769194089,0.384756832,478.1,9,17.19233612,23.56367539,29.93501466,10.2391666666667
Moshi,2016-05-01,15.2057693371406,0.377555365,138.1,13,16.89146658,21.9537541,27.01604163,27.7446296296296
Moshi,2016-06-01,6.7365384376966,0.505249331,25.1,4,16.59474584,21.26112408,25.92750232,NA
Moshi,2016-07-01,25.5442306445195,0.499738702,19.3,3,16.36544135,21.51452954,26.66361774,25.5407407407407
Moshi,2016-08-01,13.4326923443721,0.474474957,16.9,3,15.37373107,20.85580238,26.33787369,26.2842592592593
Moshi,2016-09-01,10.378846186858,0.428984289,6,2,16.9004045,23.17488984,29.44937518,30.6294444444444
Moshi,2016-10-01,14.6711538388179,0.375178992,33,4,19.71061644,24.93889708,30.16717771,33.6853703703704
Moshi,2016-11-01,18.3576923883878,0.371498318,70.5,8,19.07751203,24.8671701,30.65682818,33.6927777777778
Moshi,2016-12-01,29.4846154726469,0.370342022,36.3,2,20.99680184,25.97430271,30.95180358,34.8425
Moshi,2017-01-01,17.5038462051978,0.373472001,43.4,1,20.99267771,26.70706424,32.42145076,34.4962037037037
Moshi,2017-02-01,19.4403845713689,0.37468755,37.7,2,21.11482744,25.9246692,30.73451095,33.6700925925926
Moshi,2017-03-01,22.1884615971492,0.375195489,63.6,9,20.18662726,25.85474233,31.52285739,31.9471296296296
Moshi,2017-04-01,21.0211538901696,0.387245285,276.8,4,18.70633891,24.18750285,29.66866679,27.6563888888889
Moshi,2017-05-01,17.1403846740723,NA,187.8,15,15.79538438,21.00891365,26.22244293,25.3872222222222
Moshi,2017-06-01,7.5711538699957,NA,14.4,3,14.93340422,20.70020842,26.46701261,24.8466666666667
Moshi,2017-07-01,19.7346153259277,0.473741202,17.7,3,15.47497007,20.82913908,26.18330808,25.5963888888889
Moshi,2017-08-01,11.7461538865016,0.47206864,26.3,4,17.64052176,22.6142976,27.58807343,27.6287962962963
Moshi,2017-09-01,11.3326924213996,0.471488227,14.7,3,17.19508382,22.58725794,27.97943205,31.8352777777778
Moshi,2017-10-01,15.3365384615385,0.469696501,21.2,3,19.53798168,25.0645148,30.59104793,33.6691666666667
Moshi,2017-11-01,23.2346154359671,0.468236699,124.8,3,18.61107845,23.73861822,28.86615799,29.5362962962963
Moshi,2017-12-01,34.6807688199557,0.453888561,38.1,1,20.78365418,26.24809517,31.71253616,32.7544444444444
Moshi,2018-01-01,24.4480770551241,0.504155639,63.9,5,21.08786238,25.19539842,29.30293446,30.9278703703704
Moshi,2018-02-01,18.6769232016343,0.505731031,17.7,3,20.63655941,25.56908418,30.50160895,32.5078703703704
Moshi,2018-03-01,25.3653846887442,0.504992685,269.2,18,19.41181029,24.64222499,29.87263969,30.3351851851852
Moshi,2018-04-01,21.2403847621037,0.386084213,603.9,15,19.36425327,24.70038784,30.03652242,6.66833333333333
Moshi,2018-05-01,14.0557692234333,0.602193395,176.3,1,15.94807088,21.31581484,26.6835588,25.6637962962963
Moshi,2018-06-01,13.5961538644937,0.602192074,27.9,4,15.06012603,20.04693176,25.03373748,24.2605555555556
Moshi,2018-07-01,20.8826923370361,0.503175826,20.9,3,14.70482756,19.81299864,24.92116972,25.3108333333333
Moshi,2018-08-01,14.9057692197653,0.477149196,13.4,3,16.77824751,21.7105055,26.64276348,26.5902777777778
Moshi,2018-09-01,16.0942307802347,0.46902452,14,3,17.4776933,21.86687598,26.25605866,30.7591666666667
Moshi,2018-10-01,23.7942308645982,0.455772641,61.4,7,19.28919914,24.49521137,29.7012236,31.2131481481481
Moshi,2018-11-01,21.2923075235807,0.454201475,62.1,7,19.76548071,24.28683581,28.80819091,30.5525
Moshi,2018-12-01,33.2576923003564,0.44325555,116.8,7,21.18036665,25.955376,30.73038536,31.1430555555556
Moshi,2019-01-01,24.83269236638,0.462208631,55.9,4,20.63157753,25.26482711,29.89807669,30.877037037037
Moshi,2019-02-01,21.4730768937331,0.45934195,42.3,2,21.8774787,26.2988972,30.7203157,32.4067592592593
Moshi,2019-03-01,19.9173076702998,0.431515516,36.5,5,22.00543925,27.10701166,32.20858406,33.8124074074074
Moshi,2019-04-01,13.1000001063714,0.422402355,327.6,9,19.24308798,24.57046862,29.89784926,31.7785185185185
Moshi,2019-05-01,16.7211539195134,0.420441284,264.3,1,16.20434405,21.51152086,26.81869768,24.9223148148148
Moshi,2019-06-01,9.11346151278569,0.631080486,28.8,5,15.56224022,20.16171955,24.76119887,24.7522222222222
Moshi,2019-07-01,27.5711538975055,0.59205918,46.7,6,14.62995691,20.30974126,25.9895256,26.577962962963
