"","Diseases","Category","Subcategory","Subcategory_WM","Year","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept","Oct","Nov","Dec"
"1","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2014,"2180","2403","2508","2861","3459","2676","3049","2584","2725","3326","2348","2264"
"2","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2014,"2219","2477","2400","2466","4676","2237","2300","1975","2054","2819","1844","1371"
"3","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2014,"217","270","438","324","459","496","405","182","387","459","492","436"
"4","Malaria","CD","Malaria","Malaria",2014,"180","132","219","167","478","293","140","76","194","171","141","297"
"5","Infectious Eye Disease","CD","Other Cd","Other CD",2014,"0","0","0","0","0","0","171","15","0","22","28","191"
"6","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2014,"0","0","0","0","0","0","0","33","0","91","362","173"
"7","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2014,"87","97","151","124","140","160","144","113","117","82","132","154"
"8","Skin Infection - Fungal","CD","Skin","Skin",2014,"516","966","589","634","817","657","799","502","782","837","587","147"
"9","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2014,"0","0","0","0","0","0","452","0","7","1","307","111"
"10","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2014,"50","33","26","16","44","26","34","45","34","75","50","75"
"11","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2014,"17","14","13","11","76","11","9","13","83","36","12","75"
"12","Rabies","CD","Other Cd","Other CD",2014,"0","0","1","0","0","0","1","1","1","2","19","12"
"13","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2014,"0","0","0","1","1","0",NA,"1","0","2","7","4"
"14","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2014,"9","2","3","6","1","3","0","0","0","0","0","2"
"15","Measles","CD","Other Cd","Other CD",2014,"1","4","22","0","0","0","0","6","6","0","0","1"
"16","Viral Haemorrhagic Fevers","CD","Other Vector Borne","Other vector borne",2014,"0","0","0","0","0","0","0","0","0","0","0","1"
"17","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2014,"0","4","0","0","0","0","0","4","0","0","0","0"
"18","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2014,"0","0","0","0","0","0","0","0","0","0","1","0"
"19","Influenza","CD","Respiratory Infection","Respiratory Infection",2014,"0","0","3","0","3","3","0","4","0","0","0","0"
"20","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2014,"0","0","0","0","0","0","0","0","0","0","0","0"
"21","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2015,"3 827","3 770","4 259","4 495","4 772","4 641","4 825","4 408","4 184","3 694","3 616","3 290"
"22","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2015,"2 558","2 570","2 492","2 679","2 299","1 906","2 663","2 325","2 685","2 175","2 519","2 251"
"23","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2015,"802","965","788","790","1 096","522","663","533","497","616","459","350"
"24","Skin Infection - Fungal","CD","Skin","Skin",2015,"636","745","566","469","549","404","536","414","430","371","402","399"
"25","Dysentery","CD","Diarrheal Disease ","diarrheal disease ",2015,"550","279","194","256","117","120","234","58","61","69","49","47"
"26","Infectious Eye Disease","CD","Other Cd","Other CD",2015,"375","392","409","214","363","180","192","161","205","153","231","170"
"27","Pneumonia, Severe","CD","Respiratory Infection","Respiratory Infection",2015,"368","308","281","126","294","514","434","264","270","204","257","213"
"28","Tuberculosis","CD","Respiratory Infection","Respiratory Infection",2015,"227","166","127","51","41","219","68","88","58","131","158","57"
"29","Malaria mRDT +ve","CD","Malaria","Malaria",2015,"168","240","233","185","109","238","218","108","198","214","91","379"
"30","Diarrhea With Severe Dehydration","CD","Diarrheal Disease ","diarrheal disease ",2015,"135","117","56","3","7","9","12","1","26","6","36","18"
"31","Rabies","CD","Other Cd","Other CD",2015,"79","95","56","57","33","49","55","35","46","58","59","44"
"32","Schistosomiasis","CD","Neglected Tropical Disease (Ntd)","Neglected Tropical Disease (NTD)",2015,"71","4","50","5","5","7","20","266","13","9","0","26"
"33","Typhoid","CD","Other Cd","I think we can call it Typhoid if its common, if not common then other CD",2015,"42","55","102","41","69","32","49","49","32","38","58","45"
"34","Measles","CD","Other Cd","Other CD",2015,"12","10","72",NA,"111","2","2","5","0","0","0","1"
"35","Meningitis","CD","Both","Can be both CD or NCD!!! Hard to clssify ",2015,"6","0","0","2","0","10","3","6","10","6","0","8"
"36","Acute Flaccid Paralysis","CD","Both","This is not truly a disease hence can be classified in either groups",2015,"0","0","0","0","0","0","0","1","1","0","0","1"
"37","Cholera","CD","Diarrheal Disease ","Diarrheal disease ",2015,"0","0","0","0","2","0","1","4","0","1","0","0"
"38","Relapsing Fever (Louse Borne Typhus)","CD","Other Vector Borne","Other vector borne",2015,"0","0","0","0","0","3","0","0","3","0","0","0"
"39","Yellow Fever","CD","Other Vector Borne","Other vector borne",2015,"0","0","0","0","0","0","0","0","9","0","0","0"
"40","Upper Respiratory Infections","CD","Respiratory Infection","Respiratory Infection",2016,"3 834","5 126","4 338","5 482","7 459","5 511","4 544","4 145","4 946","5 554","4 569","5 822"
"41","Urinary Tract Infections","CD","Urinary Tract Infection","Urinary Tract Infection",2016,"2 579","3 176","3 415","3 046","4 760","3 324","2 893","2 701","3 402","2 894","3 452","3 472"
"42","Diarrhea With No Dehydration","CD","Diarrheal Disease ","Diarrheal disease ",2016,"666","773","492","623","1 063","666","524","562","479","690","706","629"
"43","Skin Infection - Fungal","CD","Skin","Skin",2016,"401","710","453","700","387","419","307","440","415","468","455","408"
"44","Malaria mRDT +ve","CD","Malaria","Malaria",2016,"400","399","233","222","270","263","263","179","121","55","111","121"
