"","District","year","month","avg_pm2.5_monthly"
"1","Moshi","2014","01",19.7480768790612
"2","Moshi","2014","02",26.1038460731506
"3","Moshi","2014","03",32.484615289248
"4","Moshi","2014","04",23.7403846520644
"5","Moshi","2014","05",14.8865383038154
"6","Moshi","2014","06",12.1865384762104
"7","Moshi","2014","07",11.3423076959757
"8","Moshi","2014","08",10.2615384872143
"9","Moshi","2014","09",12.1153846520644
"10","Moshi","2014","10",17.2269230255714
"11","Moshi","2014","11",13.928846175854
"12","Moshi","2014","12",31.3653844686655
"13","Moshi","2015","01",18.6211539782011
"14","Moshi","2015","02",17.9557693188007
"15","Moshi","2015","03",23.8557691574097
"16","Moshi","2015","04",16.6423079050504
"17","Moshi","2015","05",14.163461630161
"18","Moshi","2015","06",17.7769229962276
"19","Moshi","2015","07",16.8865384505345
"20","Moshi","2015","08",9.80192301823543
"21","Moshi","2015","09",15.0403846043807
"22","Moshi","2015","10",20.221153992873
"23","Moshi","2015","11",16.6653845860408
"24","Moshi","2015","12",24.3576924617474
"25","Moshi","2016","01",20.8692307839027
"26","Moshi","2016","02",18.3538461465102
"27","Moshi","2016","03",22.1711538388179
"28","Moshi","2016","04",16.2730769194089
"29","Moshi","2016","05",15.2057693371406
"30","Moshi","2016","06",6.7365384376966
"31","Moshi","2016","07",25.5442306445195
"32","Moshi","2016","08",13.4326923443721
"33","Moshi","2016","09",10.378846186858
"34","Moshi","2016","10",14.6711538388179
"35","Moshi","2016","11",18.3576923883878
"36","Moshi","2016","12",29.4846154726469
"37","Moshi","2017","01",17.5038462051978
"38","Moshi","2017","02",19.4403845713689
"39","Moshi","2017","03",22.1884615971492
"40","Moshi","2017","04",21.0211538901696
"41","Moshi","2017","05",17.1403846740723
"42","Moshi","2017","06",7.5711538699957
"43","Moshi","2017","07",19.7346153259277
"44","Moshi","2017","08",11.7461538865016
"45","Moshi","2017","09",11.3326924213996
"46","Moshi","2017","10",15.3365384615385
"47","Moshi","2017","11",23.2346154359671
"48","Moshi","2017","12",34.6807688199557
"49","Moshi","2018","01",24.4480770551241
"50","Moshi","2018","02",18.6769232016343
"51","Moshi","2018","03",25.3653846887442
"52","Moshi","2018","04",21.2403847621037
"53","Moshi","2018","05",14.0557692234333
"54","Moshi","2018","06",13.5961538644937
"55","Moshi","2018","07",20.8826923370361
"56","Moshi","2018","08",14.9057692197653
"57","Moshi","2018","09",16.0942307802347
"58","Moshi","2018","10",23.7942308645982
"59","Moshi","2018","11",21.2923075235807
"60","Moshi","2018","12",33.2576923003564
"61","Moshi","2019","01",24.83269236638
"62","Moshi","2019","02",21.4730768937331
"63","Moshi","2019","03",19.9173076702998
"64","Moshi","2019","04",13.1000001063714
"65","Moshi","2019","05",16.7211539195134
"66","Moshi","2019","06",9.11346151278569
"67","Moshi","2019","07",27.5711538975055
"68","Moshi","2019","08",18.1750000440157
"69","Moshi","2019","09",14.2961539305173
"70","Moshi","2019","10",19.1480770111084
"71","Moshi","2019","11",24.1153846153846
"72","Moshi","2019","12",41.6038458897517
"73","Moshi","2020","01",27.2038461978619
"74","Moshi","2020","02",26.9615383881789
"75","Moshi","2020","03",28.9096154066233
"76","Moshi","2020","04",25.9461538975055
"77","Moshi","2020","05",14.2423076629639
"78","Moshi","2020","06",16.330769263781
"79","Moshi","2020","07",29.1519230695871
"80","Moshi","2020","08",20.7134615091177
"81","Moshi","2020","09",15.0115385055542
"82","Moshi","2020","10",21.9980768790612
"83","Moshi","2020","11",24.9134615017818
"84","Moshi","2020","12",35.2499997065618
"85","Moshi","2021","01",30.3250000660236
"86","Moshi","2021","02",16.4461539341853
"87","Moshi","2021","03",22.5576923443721
"88","Moshi","2021","04",19.9096152599041
"89","Moshi","2021","05",15.2115385165581
"90","Moshi","2021","06",15.6192307655628
"91","Moshi","2021","07",18.3038461024945
"92","Moshi","2021","08",16.8557691940895
"93","Moshi","2021","09",15.282692359044
"94","Moshi","2021","10",19.6480769377488
"95","Moshi","2021","11",20.9326923443721
"96","Moshi","2021","12",38.3115381827721
"97","Moshi","2022","01",21.3076923076923
"98","Moshi","2022","02",21.2942308279184
"99","Moshi","2022","03",25.4096154066233
"100","Moshi","2022","04",23.0596154286311
"101","Moshi","2022","05",13.248076915741
"102","Moshi","2022","06",10.4115384358626
"103","Moshi","2022","07",19.3326922196608
"104","Moshi","2022","08",13.6057692124293
