"","year","district","month","Monthly Total Rainfall ","Number of Raindays "
"1","2012","Moshi","Jan",12.5,2
"2","2012","Moshi","Feb",35.6,6
"3","2012","Moshi","Mar",44.7,7
"4","2012","Moshi","Apr",269.3,7
"5","2012","Moshi","May",83.7,9
"6","2012","Moshi","Jun",9.2,2
"7","2012","Moshi","Jul",6.9,2
"8","2012","Moshi","Aug",12.5,3
"9","2012","Moshi","Sep",6.3,2
"10","2012","Moshi","Oct",16.9,3
"11","2012","Moshi","Nov",103.8,3
"12","2012","Moshi","Dec",57.5,2
"13","2012","Siha","Jan",18.3,3
"14","2012","Siha","Feb",41.5,4
"15","2012","Siha","Mar",49.6,6
"16","2012","Siha","Apr",127.9,6
"17","2012","Siha","May",57,7
"18","2012","Siha","Jun",5.6,2
"19","2012","Siha","Jul",0,0
"20","2012","Siha","Aug",0,0
"21","2012","Siha","Sep",0,0
"22","2012","Siha","Oct",18.4,3
"23","2012","Siha","Nov",127.2,2
"24","2012","Siha","Dec",79.7,9
"25","2013","Moshi","Jan",60.3,4
"26","2013","Moshi","Feb",14.8,3
"27","2013","Moshi","Mar",127.2,10
"28","2013","Moshi","Apr",365.1,8
"29","2013","Moshi","May",96.2,10
"30","2013","Moshi","Jun",13.1,3
"31","2013","Moshi","Jul",13.7,3
"32","2013","Moshi","Aug",8.8,2
"33","2013","Moshi","Sep",7.8,2
"34","2013","Moshi","Oct",19.4,3
"35","2013","Moshi","Nov",56.2,1
"36","2013","Moshi","Dec",70.2,3
"37","2013","Siha","Jan",65.9,4
"38","2013","Siha","Feb",21.2,4
"39","2013","Siha","Mar",106.4,9
"40","2013","Siha","Apr",117.9,9
"41","2013","Siha","May",43.1,5
"42","2013","Siha","Jun",6.3,2
"43","2013","Siha","Jul",0,0
"44","2013","Siha","Aug",0,0
"45","2013","Siha","Sep",0,0
"46","2013","Siha","Oct",16.4,3
"47","2013","Siha","Nov",80.7,2
"48","2013","Siha","Dec",95.8,3
"49","2014","Moshi","Jan",18.8,1
"50","2014","Moshi","Feb",56,15
"51","2014","Moshi","Mar",127.7,13
"52","2014","Moshi","Apr",204.2,2
"53","2014","Moshi","May",124.7,12
"54","2014","Moshi","Jun",18.4,3
"55","2014","Moshi","Jul",17.7,3
"56","2014","Moshi","Aug",11.8,2
"57","2014","Moshi","Sep",11.4,2
"58","2014","Moshi","Oct",15.8,3
"59","2014","Moshi","Nov",89.5,1
"60","2014","Moshi","Dec",62.6,2
"61","2014","Siha","Jan",24.2,5
"62","2014","Siha","Feb",88,11
"63","2014","Siha","Mar",82.7,10
"64","2014","Siha","Apr",95.2,10
"65","2014","Siha","May",46.9,6
"66","2014","Siha","Jun",8.8,2
"67","2014","Siha","Jul",0,0
"68","2014","Siha","Aug",0,0
"69","2014","Siha","Sep",5.6,2
"70","2014","Siha","Oct",16.1,1
"71","2014","Siha","Nov",89.9,9
"72","2014","Siha","Dec",79.3,2
"73","2015","Moshi","Jan",18.6,2
"74","2015","Moshi","Feb",28.6,2
"75","2015","Moshi","Mar",87.8,5
"76","2015","Moshi","Apr",502.1,7
"77","2015","Moshi","May",225,1
"78","2015","Moshi","Jun",20.7,3
"79","2015","Moshi","Jul",20.2,3
"80","2015","Moshi","Aug",14.7,3
"81","2015","Moshi","Sep",5.7,2
"82","2015","Moshi","Oct",28.8,4
"83","2015","Moshi","Nov",98.7,5
"84","2015","Moshi","Dec",70.1,4
"85","2015","Siha","Jan",24.2,1
"86","2015","Siha","Feb",49.6,4
"87","2015","Siha","Mar",83.5,4
"88","2015","Siha","Apr",222.7,8
"89","2015","Siha","May",75.5,1
"90","2015","Siha","Jun",10.2,2
"91","2015","Siha","Jul",0,0
"92","2015","Siha","Aug",0,0
"93","2015","Siha","Sep",0,0
"94","2015","Siha","Oct",25.6,1
"95","2015","Siha","Nov",104.1,10
"96","2015","Siha","Dec",107.1,3
"97","2016","Moshi","Jan",83.4,7
"98","2016","Moshi","Feb",23.3,4
"99","2016","Moshi","Mar",60.7,4
"100","2016","Moshi","Apr",478.1,9
"101","2016","Moshi","May",138.1,13
"102","2016","Moshi","Jun",25.1,4
"103","2016","Moshi","Jul",19.3,3
"104","2016","Moshi","Aug",16.9,3
"105","2016","Moshi","Sep",6,2
"106","2016","Moshi","Oct",33,4
"107","2016","Moshi","Nov",70.5,8
"108","2016","Moshi","Dec",36.3,2
"109","2016","Siha","Jan",96.3,8
"110","2016","Siha","Feb",32.2,4
"111","2016","Siha","Mar",58.8,2
"112","2016","Siha","Apr",150.3,6
"113","2016","Siha","May",60.8,7
"114","2016","Siha","Jun",9.7,2
"115","2016","Siha","Jul",0,0
"116","2016","Siha","Aug",0,0
"117","2016","Siha","Sep",0,0
