"","variable","value","year","district","month"
"1","Monthly mean minimum temperature ",13.4,"2012","Moshi","Jan"
"2","Monthly mean minimum temperature ",13.8,"2012","Moshi","Feb"
"3","Monthly mean minimum temperature ",14,"2012","Moshi","Mar"
"4","Monthly mean minimum temperature ",14.8,"2012","Moshi","Apr"
"5","Monthly mean minimum temperature ",13.4,"2012","Moshi","May"
"6","Monthly mean minimum temperature ",11.4,"2012","Moshi","Jun"
"7","Monthly mean minimum temperature ",9.8,"2012","Moshi","Jul"
"8","Monthly mean minimum temperature ",10.7,"2012","Moshi","Aug"
"9","Monthly mean minimum temperature ",11.5,"2012","Moshi","Sep"
"10","Monthly mean minimum temperature ",13.7,"2012","Moshi","Oct"
"11","Monthly mean minimum temperature ",14.7,"2012","Moshi","Nov"
"12","Monthly mean minimum temperature ",15.1,"2012","Moshi","Dec"
"13","Monthly mean maximum temperature ",25,"2012","Moshi","Jan"
"14","Monthly mean maximum temperature ",24.4,"2012","Moshi","Feb"
"15","Monthly mean maximum temperature ",24.1,"2012","Moshi","Mar"
"16","Monthly mean maximum temperature ",21.8,"2012","Moshi","Apr"
"17","Monthly mean maximum temperature ",20.5,"2012","Moshi","May"
"18","Monthly mean maximum temperature ",19.5,"2012","Moshi","Jun"
"19","Monthly mean maximum temperature ",19.4,"2012","Moshi","Jul"
"20","Monthly mean maximum temperature ",20.4,"2012","Moshi","Aug"
"21","Monthly mean maximum temperature ",22.1,"2012","Moshi","Sep"
"22","Monthly mean maximum temperature ",23.1,"2012","Moshi","Oct"
"23","Monthly mean maximum temperature ",23.1,"2012","Moshi","Nov"
"24","Monthly mean maximum temperature ",22.7,"2012","Moshi","Dec"
"25","Monthly mean temperature ",19.4,"2012","Moshi","Jan"
"26","Monthly mean temperature ",19.3,"2012","Moshi","Feb"
"27","Monthly mean temperature ",19.2,"2012","Moshi","Mar"
"28","Monthly mean temperature ",17.9,"2012","Moshi","Apr"
"29","Monthly mean temperature ",16.8,"2012","Moshi","May"
"30","Monthly mean temperature ",15.5,"2012","Moshi","Jun"
"31","Monthly mean temperature ",14.7,"2012","Moshi","Jul"
"32","Monthly mean temperature ",15.7,"2012","Moshi","Aug"
"33","Monthly mean temperature ",16.8,"2012","Moshi","Sep"
"34","Monthly mean temperature ",18.4,"2012","Moshi","Oct"
"35","Monthly mean temperature ",18.7,"2012","Moshi","Nov"
"36","Monthly mean temperature ",18.8,"2012","Moshi","Dec"
"37","Monthly mean minimum temperature ",14.6,"2013","Moshi","Jan"
"38","Monthly mean minimum temperature ",14.6,"2013","Moshi","Feb"
"39","Monthly mean minimum temperature ",16.1,"2013","Moshi","Mar"
"40","Monthly mean minimum temperature ",15.7,"2013","Moshi","Apr"
"41","Monthly mean minimum temperature ",12.8,"2013","Moshi","May"
"42","Monthly mean minimum temperature ",10.7,"2013","Moshi","Jun"
"43","Monthly mean minimum temperature ",9.5,"2013","Moshi","Jul"
"44","Monthly mean minimum temperature ",11,"2013","Moshi","Aug"
"45","Monthly mean minimum temperature ",12.2,"2013","Moshi","Sep"
"46","Monthly mean minimum temperature ",13,"2013","Moshi","Oct"
"47","Monthly mean minimum temperature ",14.7,"2013","Moshi","Nov"
"48","Monthly mean minimum temperature ",14.5,"2013","Moshi","Dec"
