"","Month","Year","MeanValue","District"
"1","01","2012",29.8780445752734,"Siha"
"2","02","2012",29.9421236333052,"Siha"
"3","03","2012",29.7000883095038,"Siha"
"4","04","2012",24.3187888982338,"Siha"
"5","05","2012",23.1488519764508,"Siha"
"6","06","2012",21.4692430613962,"Siha"
"7","07","2012",23.2252186711522,"Siha"
"8","08","2012",25.9323927670312,"Siha"
"9","09","2012",28.9986417157274,"Siha"
"10","10","2012",30.0257232968881,"Siha"
"11","11","2012",26.9826198486123,"Siha"
"12","12","2012",27.0275399495374,"Siha"
"13","01","2013",28.9012405382674,"Siha"
"14","02","2013",29.8215180824223,"Siha"
"15","03","2013",26.4789444911691,"Siha"
"16","04","2013",22.8819217830109,"Siha"
"17","05","2013",22.8575567703952,"Siha"
"18","06","2013",21.8577502102609,"Siha"
"19","07","2013",22.8772413793103,"Siha"
"20","08","2013",25.7848359966358,"Siha"
"21","09","2013",29.5755550883095,"Siha"
"22","10","2013",31.9173759461731,"Siha"
"23","11","2013",27.5587678721614,"Siha"
"24","12","2013",26.2645458368377,"Siha"
"25","01","2014",29.4784861227922,"Siha"
"26","02","2014",28.3571068124474,"Siha"
"27","03","2014",26.4074137931034,"Siha"
"28","04","2014",23.0494575273338,"Siha"
"29","05","2014",20.4356265769554,"Siha"
"30","06","2014",19.8656349873844,"Siha"
"31","07","2014",22.4207148864592,"Siha"
"32","08","2014",25.8915180824223,"Siha"
"33","09","2014",26.9796425567704,"Siha"
"34","10","2014",28.3785155592936,"Siha"
"35","11","2014",28.1600336417157,"Siha"
"36","12","2014",26.4979646761984,"Siha"
"37","01","2015",29.5558368376787,"Siha"
"38","02","2015",30.2934188393609,"Siha"
"39","03","2015",29.8226492851134,"Siha"
"40","04","2015",25.5031286795627,"Siha"
"41","05","2015",21.5185323801514,"Siha"
"42","06","2015",22.883717409588,"Siha"
"43","07","2015",23.3924936921783,"Siha"
"44","08","2015",26.0677502102608,"Siha"
"45","09","2015",29.7181286795628,"Siha"
"46","10","2015",30.3361732548358,"Siha"
"47","11","2015",27.0591589571067,"Siha"
"48","12","2015",27.9539066442389,"Siha"
"49","01","2016",27.9924558452481,"Siha"
"50","02","2016",29.4376745164003,"Siha"
"51","03","2016",30.6402481076536,"Siha"
"52","04","2016",22.6898864592094,"Siha"
"53","05","2016",22.979709840202,"Siha"
"54","07","2016",23.6342556770396,"Siha"
"55","08","2016",24.7592935239697,"Siha"
"56","09","2016",28.3900967199328,"Siha"
"57","10","2016",30.6924852817494,"Siha"
"58","11","2016",25.6749957947855,"Siha"
"59","12","2016",29.0747434819175,"Siha"
"60","01","2017",30.5804962153069,"Siha"
"61","02","2017",29.1602270815812,"Siha"
"62","03","2017",28.243637510513,"Siha"
"63","04","2017",22.9076619007569,"Siha"
"64","05","2017",21.8925946173255,"Siha"
"65","06","2017",22.1822792262405,"Siha"
"66","07","2017",23.0146257359125,"Siha"
"67","08","2017",25.819739276703,"Siha"
"68","09","2017",29.3027081581161,"Siha"
"69","10","2017",30.7423675357443,"Siha"
"70","11","2017",25.4294365012615,"Siha"
"71","12","2017",27.8275820016821,"Siha"
"72","01","2018",28.3058452481077,"Siha"
"73","02","2018",29.8901597981497,"Siha"
"74","03","2018",25.1382506307821,"Siha"
"75","04","2018",15.0612068965517,"Siha"
"76","05","2018",20.7508578637511,"Siha"
"77","06","2018",21.3531707317073,"Siha"
"78","07","2018",22.0737216148024,"Siha"
"79","08","2018",24.1236206896551,"Siha"
"80","09","2018",27.1609756097561,"Siha"
"81","10","2018",27.029142136249,"Siha"
"82","11","2018",27.2809503784694,"Siha"
"83","12","2018",25.7420563498739,"Siha"
"84","01","2019",27.8551009251472,"Siha"
"85","02","2019",29.9917367535744,"Siha"
"86","03","2019",31.0156560134565,"Siha"
"87","04","2019",27.8967619848612,"Siha"
"88","05","2019",22.5068418839361,"Siha"
"89","06","2019",22.0501471825063,"Siha"
"90","07","2019",23.5504373423044,"Siha"
"91","08","2019",25.9992388561817,"Siha"
"92","09","2019",28.7968418839362,"Siha"
"93","10","2019",22.7406938603869,"Siha"
"94","11","2019",24.2673170731706,"Siha"
"95","12","2019",23.0297014297728,"Siha"
"96","01","2020",24.5174390243903,"Siha"
"97","02","2020",25.763456686291,"Siha"
"98","03","2020",25.1195332211943,"Siha"
"99","04","2020",20.7218250630782,"Siha"
"100","05","2020",21.8313582842725,"Siha"
"101","06","2020",22.0404499579479,"Siha"
"102","07","2020",21.1098065601345,"Siha"
"103","08","2020",24.7619343986544,"Siha"
"104","09","2020",28.728519764508,"Siha"
"105","10","2020",29.2120269133726,"Siha"
"106","11","2020",25.2848402018503,"Siha"
"107","12","2020",26.8426366694701,"Siha"
"108","01","2021",27.4467788057191,"Siha"
"109","02","2021",27.2093566021867,"Siha"
"110","03","2021",27.8284608915055,"Siha"
"111","04","2021",21.6896257359125,"Siha"
"112","05","2021",18.8415349032801,"Siha"
"113","06","2021",21.1242430613961,"Siha"
"114","07","2021",22.0171825063078,"Siha"
"115","08","2021",25.806291000841,"Siha"
