"","District","value.ID","value.O3_column_number_density","month","year","o3"
"1","moshi",1,123336.65625,"09","2018","O3"
"2","moshi",1,123336.65625,"09","2018","O3"
"3","moshi",1,123336.3203125,"09","2018","O3"
"4","moshi",1,123414.4375,"09","2018","O3"
"5","moshi",1,123414.4375,"09","2018","O3"
"6","moshi",1,123426.984375,"09","2018","O3"
"7","moshi",1,123092.59375,"09","2018","O3"
"8","moshi",1,123426.984375,"09","2018","O3"
"9","moshi",1,123426.984375,"09","2018","O3"
"10","moshi",1,123426.984375,"09","2018","O3"
"11","moshi",1,123426.984375,"09","2018","O3"
"12","moshi",1,123307.1796875,"09","2018","O3"
"13","moshi",1,123239.3828125,"09","2018","O3"
"14","moshi",1,123239.3828125,"09","2018","O3"
"15","moshi",1,122767.3125,"09","2018","O3"
"16","moshi",1,122734.28125,"09","2018","O3"
"17","moshi",1,122894.71875,"09","2018","O3"
"18","moshi",1,123458.734375,"09","2018","O3"
"19","moshi",1,123468.8046875,"09","2018","O3"
"20","moshi",1,123468.8046875,"09","2018","O3"
"21","moshi",1,123478.875,"09","2018","O3"
"22","moshi",1,123411.7265625,"09","2018","O3"
"23","moshi",1,123311.40625,"09","2018","O3"
"24","moshi",1,123321.4765625,"09","2018","O3"
"25","moshi",1,123242.375,"09","2018","O3"
"26","moshi",1,122182.859375,"09","2018","O3"
"27","moshi",1,122703.625,"09","2018","O3"
"28","moshi",1,122946.484375,"09","2018","O3"
"29","moshi",1,123519.1328125,"09","2018","O3"
"30","moshi",1,123535.203125,"09","2018","O3"
"31","moshi",1,123535.203125,"09","2018","O3"
"32","moshi",1,123535.203125,"09","2018","O3"
"33","moshi",1,123500.578125,"09","2018","O3"
"34","moshi",1,123347.59375,"09","2018","O3"
"35","moshi",1,123347.59375,"09","2018","O3"
"36","moshi",1,123347.59375,"09","2018","O3"
"37","moshi",1,122667.515625,"09","2018","O3"
"38","moshi",1,122703.625,"09","2018","O3"
"39","moshi",1,122946.484375,"09","2018","O3"
